hostname,gaia_id,default_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rowupdate,pl_pubdate;
61 Vir,Gaia DR2 3507879565090229888,1,5577.00,33.00,-33.00,0,-0.010,,,0,[Fe/H],4.34,0.03,-0.03,0,1.9000,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2010-01;
61 Vir,Gaia DR2 3507879565090229888,1,5577.00,33.00,-33.00,0,-0.010,,,0,[Fe/H],4.34,0.03,-0.03,0,1.9000,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2010-01;
7 CMa,Gaia DR2 2939555954747554176,1,4826.00,45.00,-55.00,0,0.210,0.100,-0.100,0,[Fe/H],3.19,0.06,-0.07,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-10-18,2019-11;
7 CMa,Gaia DR2 2939555954747554176,1,4826.00,45.00,-55.00,0,0.210,0.100,-0.100,0,[Fe/H],3.19,0.06,-0.07,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-10-18,2019-11;
70 Vir,Gaia DR2 3740176925743650688,1,5495.00,,,0,,,,,,3.95,,,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-12-03,2019-04;
75 Cet,Gaia DR2 2500064286492779264,1,4846.00,18.00,-18.00,0,0.000,0.040,-0.040,0,[Fe/H],2.63,0.05,-0.05,0,1.7700,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2015-09-02,2012-12;
8 UMi,Gaia DR2 1700658653802527104,1,4847.00,7.00,-7.00,0,-0.030,,,0,[Fe/H],2.57,0.03,-0.03,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-09-04,2017-03;
81 Cet,Gaia DR2 2495420602212048640,1,4785.00,25.00,-25.00,0,-0.060,0.030,-0.030,0,[Fe/H],2.35,0.08,-0.08,0,1.8000,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2008-12;
91 Aqr,Gaia DR2 2630155547353593216,1,4665.00,18.00,-18.00,0,-0.030,0.100,-0.100,0,[Fe/H],2.52,0.05,-0.05,0,3.9000,0.5000,-0.5000,0,,,,,-25.75,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2013-07;
AB Aur,Gaia DR2 156917493449670656,1,9770.00,100.00,-100.00,0,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-04-12,2022-04;
AB Pic,Gaia DR2 5495052596695570816,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2005-08;
AF Lep,Gaia DR2 3009908378049913216,1,6100.00,,,0,,,,,,4.40,,,0,54.7000,0.5000,-0.5000,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2023-02-25,2023-02;
AU Mic,Gaia DR2 6794047652729201024,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-05-09,2021-12;
AU Mic,Gaia DR2 6794047652729201024,1,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-05-09,2021-12;
BD+03 2562,Gaia DR2 3895649725336884736,1,4095.00,20.00,-20.00,0,-0.710,0.090,-0.090,0,[Fe/H],1.89,0.10,-0.10,0,2.7000,0.3000,-0.3000,0,,,,,50.88,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2017-06-13,2017-10;
BD+14 4559,Gaia DR2 1759623813132980864,1,4864.00,101.00,-101.00,0,0.170,,,0,[Fe/H],4.26,0.29,-0.29,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-09-04,2017-03;
BD+15 2375,Gaia DR2 3924009634910406912,1,4649.00,30.00,-30.00,0,-0.220,0.080,-0.080,0,[Fe/H],2.61,0.12,-0.12,0,2.5000,0.5000,-0.5000,0,,,,,-9.65,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2016-02-03,2016-04;
BD+15 2940,Gaia DR2 1193071962699902336,1,4796.00,117.00,-117.00,0,0.280,0.070,-0.070,0,[Fe/H],2.80,0.45,-0.45,0,2.3000,0.8000,-0.8000,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2013-06;
BD+20 2457,Gaia DR2 625137162857354880,1,4137.00,10.00,-10.00,0,-1.000,0.070,-0.070,0,[Fe/H],1.51,0.05,-0.05,0,2.5000,,,1,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2009-12;
BD+20 2457,Gaia DR2 625137162857354880,1,4137.00,10.00,-10.00,0,-1.000,0.070,-0.070,0,[Fe/H],1.51,0.05,-0.05,0,2.5000,,,1,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2009-12;
BD+20 274,Gaia DR2 96530596864007552,1,4296.00,10.00,-10.00,0,-0.460,0.070,-0.070,0,[Fe/H],1.99,0.05,-0.05,0,2.0000,1.5000,-1.5000,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2015-09-16,2012-09;
BD+20 594,Gaia DR2 58200934326315136,1,5766.00,99.00,-99.00,0,-0.150,,,0,[Fe/H],4.50,0.08,-0.08,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-04-25,2017-03;
BD+45 564,Gaia DR2 353030751066772480,1,5004.00,50.00,-50.00,0,-0.090,0.030,-0.030,0,[Fe/H],4.22,0.13,-0.13,0,2.0000,1.0000,-1.0000,0,,,,,-6.82,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-05-28,2021-07;
BD+48 738,Gaia DR2 438899345022759424,1,4414.00,15.00,-15.00,0,-0.200,0.070,-0.070,0,[Fe/H],2.24,0.06,-0.06,0,1.0000,,,1,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2015-08-12,2012-01;
